indicator_id,classification_id,context_id,provenance,text_fragment,classification_id_rev
NRM_EQ,NRM_EQ_NO,E_F_E.31,BD3E_F,"Even if men and women are equal, if a man forbids his woman to do anything, it is best not to do it.",
NRM_EQ,NRM_EQ_NO,E_F_E.31,BD3E_F,"We have all heard about equal rights of men and women, it may sound good but in reality this never stays okay. Men and women never receive equal rights.",
NRM_EQ,NRM_EQ_NO,E_F_E.31,ET2E_F,there is no equality in our area all the decision is for men.,
NRM_EQ,NRM_EQ_NO,E_F_E.31,PK2E_F,R1: Remains to only bookish discussion and findings,
NRM_EQ,NRM_EQ_NO,E_F_E.31,PK2E_F,R.2: Society set up never allow any equality,
NRM_EQ,NRM_EQ_NO,E_F_E.31,PK2E_F,R.5: Verbally they are in favor but not practically. Still gents have important position in villages,
NRM_EQ,NRM_EQ_NO,E_F_E.31,PK2E_F,"R.5: But here in village, man has more importance as compare with women status",
NRM_EQ,NRM_EQ_NO,E_M_E.31,BD3E_M,Equality is good in some extent but not at all respects,
NRM_EQ,NRM_EQ_NO,E_M_E.31,BD3E_M,Islam religion allows equality between man and woman but our society does not accept it,
NRM_EQ,NRM_EQ_NO,E_M_E.31,BD3E_M,Women have to maintain their seclusions (purdah) first then they can do everything,
NRM_EQ,NRM_EQ_NO,E_M_E.31,BD6E_M,Equality is good in some extent but not at all respects.,
NRM_EQ,NRM_EQ_NO,E_M_E.31,ET1E_M,inheritance of other property but not land because the portion of land is small and the woman may leave the house,
NRM_EQ,NRM_EQ_NO,E_M_E.31,ET4E_M,"I would like to say something to my friends who said it is good. I think it is hard for me. It was easier and simple previously, now things are truly complicated as for every single simple things you have to consult your wife, it is too much and I fell it is slower",
NRM_EQ,NRM_EQ_NO,E_M_E.31,IN7E_M,"There is no gender equality, at least not in our village",
NRM_EQ,NRM_EQ_NO,E_M_E.31,PK7E_M,"The tasks done by male or the institutions to which he has access, it is not necessary for the females to do such works or have an access to such institutions.",
NRM_EQ,NRM_EQ_NO,E_M_E.31,PK7E_M,there must be a limit.,
NRM_EQ,NRM_EQ_NO,E_F_E.2,ET2E_F,"education is not important for a girl, because you will get married to somebody else soon.",
NRM_EQ,NRM_EQ_NO,E_F_E.4,ET2E_F,some cases they prefer male child to finish school.,
NRM_EQ,NRM_EQ_NO,E_F_E.6,ET2E_F,school for girls become as a place of misbehaving.,
NRM_EQ,NRM_EQ_NO,E_F_E.6,UZ3E_F,but there is another part of parents who think that girls dont need education so much as boys,
NRM_EQ,NRM_EQ_NO,E_M_E.6,ET2E_M,boys get more chance than girls,
NRM_EQ,NRM_EQ_NO,E_M_E.6,IN4E_M,"No, parents are not equally committed; if they have to choose between the two then they prefer to educate their sons",
NRM_EQ,NRM_EQ_NO,E_M_E.6,IN4E_M,It is difficult to find a groom for girls who are too educated,
NRM_EQ,NRM_EQ_NO,E_F_E.44,IN4E_F,Girls get married at 16 and boys at 18,[exclude]
NRM_EQ,NRM_EQ_NO,E_F_E.44,IN7E_F,Girls get married at 18-19 and boys at 24-25,[exclude]
NRM_EQ,NRM_EQ_NO,E_F_E.44,NP1E_F,girls get married at age of 20 years or above and boys at the 25 years or above,[exclude]
NRM_EQ,NRM_EQ_NO,E_F_E.44,UZ3E_F,we think that for girls  19-23 years old and for boys 23  26 years old,[exclude]
NRM_EQ,NRM_EQ_NO,E_M_E.44,IN4E_M,Girls get married at 17-18 while boys at 20-21,[exclude]
NRM_EQ,NRM_EQ_NO,E_M_E.44,IN7E_M,Boys get married at 25 and girls at 20,[exclude]
NRM_EQ,NRM_EQ_NO,E_M_E.44,UZ3E_M,"We think that for girls of 19-21 years of ages, and boys 22  25 years of ages",[exclude]
NRM_EQ,NRM_EQ_NO,E_M_E.3,IN7E_M,Only if we are educated will we get an educated wife,[exclude]
NRM_EQ,NRM_EQ_NO,E_F_E.36,IN9E_F,We talk of gender equality but it is still a male dominated society even in the rich families,
NRM_EQ,NRM_EQ_YS,E_F_E.31,BD3E_F,"If men and women could get equal education, then that is equality.",
NRM_EQ,NRM_EQ_YS,E_F_E.31,BD3E_F,"If men and women could do equal jobs, then that is equality.",
NRM_EQ,NRM_EQ_YS,E_F_E.31,BD6E_F,We think there should be equality between male and female because the family improves then,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET1E_F,", it is about being equally free like a boy. Free to play and work.",
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET1E_F,"the right to go to school as the boys, the right to elect and be elected.",
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET1E_F,"it is important to respect each other, and to equally work both outside of the house and inside the house.",
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET2E_F,Both men and women get things equally.,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET2E_F,Both men and women are equal in which the man will not think that women are subordinate.,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET2E_F,our family sends both boys and girls to school.,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET4E_F,equality between men and women is about many issues such as decision making on their day to day life particularly at marriage,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET4E_F,"equal participation of men and women in political, social life, work and education",
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET4E_F,both men and women are equal in relation to work opportunities,
NRM_EQ,NRM_EQ_YS,E_F_E.31,ET4E_F,its equal opportunity between men and women and its important when both live together because he or she may not influence and disrespect each other rather both have common understanding and decision making power at the house,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,Boys and girls should be treated equally,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,They are being treated equally which is a very good thing,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,If both study well then both will grow and the nation will grow along with them,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,If boys and girls are treated at par then they will both think alike which will be for the larger good of the society,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,Gender equality is a good concept; girls should be as wise as their male counterparts,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN1E_F,Girls should get the same freedom as boys,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN3E_F,There is difference in the rights that they have,NRM_EQ_NO
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN3E_F,Girls have equal rights before marriage which changes once she gets married,NRM_EQ_NO
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN3E_F,Women don’t have the same rights that girls enjoy,NRM_EQ_NO
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN3E_F,But gender equality is important and we should ensure it in every society,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN3E_F,A girl should have the same rights after marriage,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,Gender equality is a great concept,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,Men and women should be treated equally,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,We watch on television how women are also working in big companies and drive around in cars,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,Earlier girls were not allowed to work whereas today we have female teachers at our school,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,In our civics subject we are taught that we all have equal rights and opportunities,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,"We should also have the freedom to study, to play, to eat and live as we want",
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,Given a chance we can also prove that we are as good as the boys in every respect,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN4E_F,We are not weak by any means,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN7E_F,Today girls can be found in every profession,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN7E_F,Gender equality is important for the society,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN9E_F,Men and women should be treated at par; they are both human beings,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN9E_F,Both should get equal opportunities in every walk of life,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN9E_F,The elders in the women reprimand a young girl if she is caught talking to a boy; why is it so? If there is gender equality then we should be allowed to talk to them,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN9E_F,We are mature enough to distinguish between the right and the wrong,
NRM_EQ,NRM_EQ_YS,E_F_E.31,IN9E_F,Earlier female feticide was rampant but it is not so any more; s we are moving towards gender equality,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP1E_F,gender equality is good thing there will be no more discrimination between men and women,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP1E_F,equal rights for women and girls as well,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP2E_F,we have heard about gender equality and it is a good thing,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP2E_F,both husband and wife should help each other in work,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP2E_F,no discrimination between son and daughter,
NRM_EQ,NRM_EQ_YS,E_F_E.31,NP2E_F,women are capable of any doing work that men can do,
